question_id;question_text;parent_question;item;years;num_years;response_alternatives;num_responses;should_group_with;notes
10082;vilket är/var ditt senaste yrke;;;2009, 2013, 2014, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024;12;(yrke/sysselsättning) | Har aldrig yrkesarbetat;2;;
11996;hur skulle du reagera om den morgontidning du läser plötsligt upphörde att ges ut;;;2006, 2012;1;...sakna tidningen mycket | ...sakna tidningen något | ...inte alls sakna tidningen | Vet ej;4;;
4701;du själv gudstroende (0) - ateist (10);du själv;;2000;1;(0) | (1) | (2) | (3)  (4) | (5) | (6) | (7) | (8) | (9) | (10);11;;
4702;du själv lokalt orienterad (0) - globalt orienterad (10);du själv;;2000;1;(0) | (1) | (2) | (3)  (4) | (5) | (6) | (7) | (8) | (9) | (10);11;;
4703;du själv realist (0) - idealist (10);du själv;;2000;1;(0) | (1) | (2) | (3)  (4) | (5) | (6) | (7) | (8) | (9) | (10);11;;
4704;du själv traditionell (0) - modern (10);du själv;;2000;1;(0) | (1) | (2) | (3)  (4) | (5) | (6) | (7) | (8) | (9) | (10);11;;
240;utlägg biobiljetter;utlägg;;1986;1;0 –300 kronor| 300 –600 kronor| 600 –900 kronor| 900 –1200 kronor| 1200 kronor–;5;;
241;utlägg bäcker;utlägg;;1986;1;0 –300 kronor| 300 –600 kronor| 600 –900 kronor| 900 –1200 kronor| 1200 kronor–;5;;
242;utlägg grammofonskiv;utlägg;;1986;1;0 –300 kronor| 300 –600 kronor| 600 –900 kronor| 900 –1200 kronor| 1200 kronor–;5;;
243;utlägg hyrfilm;utlägg;;1986;1;0 –300 kronor| 300 –600 kronor| 600 –900 kronor| 900 –1200 kronor| 1200 kronor–;5;;
244;utlägg kvällstidning;utlägg;;1986;1;0 –300 kronor| 300 –600 kronor| 600 –900 kronor| 900 –1200 kronor| 1200 kronor–;5;;
245;utlägg serietidning;utlägg;;1986;1;0 –300 kronor| 300 –600 kronor| 600 –900 kronor| 900 –1200 kronor| 1200 kronor–;5;;
246;utlägg specialtidning;utlägg;;1986;1;0 –300 kronor| 300 –600 kronor| 600 –900 kronor| 900 –1200 kronor| 1200 kronor–;5;;
247;utlägg spel/dobbel;utlägg;;1986;1;0 –300 kronor| 300 –600 kronor| 600 –900 kronor| 900 –1200 kronor| 1200 kronor–;5;;
248;utlägg utlägg morgontidning;utlägg;;1986;1;0 –300 kronor| 300 –600 kronor| 600 –900 kronor| 900 –1200 kronor| 1200 kronor–;5;;
249;utlägg veckotidning;utlägg;;1986;1;0 –300 kronor| 300 –600 kronor| 600 –900 kronor| 900 –1200 kronor| 1200 kronor–;5;;
4682;arbete i förhållande till fritid;föredrar;;2000;1;Fritid går livet värt att leva (0) | (1) |  (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Arbete går livet värt att leva (10);11;;
4971;vilken utsträckning går det att lita på människor;;;2000;1;Går inte att lita på människor (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Går att lita på människor (10);11;;
4893;rätt eller fel med dokusåpor i tv;;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
4674;antalet högutbildade i sverige är otillräckligt för att täcka industrins behov;;;2000;1;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3764;bedömning en invandrare kommer alltid att betraktas som en invandrare;bedömning;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3765;bedömning invandrarna har en positiv inverkan på sveriges ekonomi;bedömning;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3766;bedömning invandrarnas integration förhindras av att svenskar och invandrare bor åtskilda;bedömning;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3767;bedömning invandrarnas kultur och traditioner berikar det svenska samhället;bedömning;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3768;bedömning motsättningarna mellan invandrare och infödda svenskar kommer att minska;bedömning;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3769;bedömning rasism och främlingsfientlighet kommer att öka;bedömning;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3770;bedömning svenska arbetsgivare är ovilliga att anställa invandrare;bedömning;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
3771;bedömning sverige blir ett bättre land att leva i;bedömning;;1999, 2000;2;Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10);11;;
