question_id;question_text;years;num_years;response_alternatives;num_responses
3935;nöjd med info om rikspolitik från dagens nyheter;1999, 2000;2; Ej tagit del av |  Mycket nöjd |  Ganska nöjd | Inte särskilt nöjd | Inte alls nöjd;5
3936;nöjd med info om rikspolitik från den lokala morgontidningen;1999, 2000;2; Ej tagit del av |  Mycket nöjd |  Ganska nöjd | Inte särskilt nöjd | Inte alls nöjd;5
3937;nöjd med info om rikspolitik från göteborgs-posten;1999, 2000;2; Ej tagit del av |  Mycket nöjd |  Ganska nöjd | Inte särskilt nöjd | Inte alls nöjd;5
3938;nöjd med info om rikspolitik från kvällstidningarna;1999, 2000;2; Ej tagit del av |  Mycket nöjd |  Ganska nöjd | Inte särskilt nöjd | Inte alls nöjd;5
3939;nöjd med info om rikspolitik från privat lokalradio;1999, 2000;2; Ej tagit del av |  Mycket nöjd |  Ganska nöjd | Inte särskilt nöjd | Inte alls nöjd;5
3940;nöjd med info om rikspolitik från svenska dagbladet;1999, 2000;2; Ej tagit del av |  Mycket nöjd |  Ganska nöjd | Inte särskilt nöjd | Inte alls nöjd;5
3941;nöjd med info om rikspolitik från sveriges radios kanaler;1999, 2000;2; Ej tagit del av |  Mycket nöjd |  Ganska nöjd | Inte särskilt nöjd | Inte alls nöjd;5
3942;nöjd med info om rikspolitik från svt1;1999, 2000;2; Ej tagit del av |  Mycket nöjd |  Ganska nöjd | Inte särskilt nöjd | Inte alls nöjd;5
3943;nöjd med info om rikspolitik från svt2;1999, 2000;2; Ej tagit del av |  Mycket nöjd |  Ganska nöjd | Inte särskilt nöjd | Inte alls nöjd;5
3944;nöjd med info om rikspolitik från tv4;1999, 2000;2; Ej tagit del av |  Mycket nöjd |  Ganska nöjd | Inte särskilt nöjd | Inte alls nöjd;5
4947;val av parti jag brukar alltid rösta på samma parti;2000;1; Ett av de absolut viktigaste skälen |  Ganska viktigt skäl |  Inte skärskilt viktigt skäl |  Inte alls viktigt skäl;4
4948;val av parti partiet har bra åsikter i de frågor jag tycker är viktiga;2000;1; Ett av de absolut viktigaste skälen |  Ganska viktigt skäl |  Inte skärskilt viktigt skäl |  Inte alls viktigt skäl;4
4949;val av parti partiet har en bra ideologi;2000;1; Ett av de absolut viktigaste skälen |  Ganska viktigt skäl |  Inte skärskilt viktigt skäl |  Inte alls viktigt skäl;4
4950;val av parti partiet har en bra partiledare;2000;1; Ett av de absolut viktigaste skälen |  Ganska viktigt skäl |  Inte skärskilt viktigt skäl |  Inte alls viktigt skäl;4
4951;val av parti partiet har kompetenta personer som kan sköta landets politik;2000;1; Ett av de absolut viktigaste skälen |  Ganska viktigt skäl |  Inte skärskilt viktigt skäl |  Inte alls viktigt skäl;4
4952;val av parti partiet är det minst dåliga av de alternativ som finns;2000;1; Ett av de absolut viktigaste skälen |  Ganska viktigt skäl |  Inte skärskilt viktigt skäl |  Inte alls viktigt skäl;4
