question_id,question_text,parent_question,item,years,num_years,response_alternatives,num_responses,should_group_with,notes
16510,""" allmänt sett, hur stort förtroende har du för svenska nyhetsmedier?""",,,2022,1,Mycket stort förtroende | Ganska stort förtroende | Ganska litet förtroende | Mycket litet förtroende,4,,
16513,""" allmänt sett, hur stort förtroende har du för svenska nyhetsmedier?""",,,2022,1,Mycket stort förtroende | Ganska stort förtroende | Ganska litet förtroende | Mycket litet förtroende,4,,
16511,""" hur ofta ta del av nyheter från alternativa medier? (t.ex. fria tider, nyheter idag, swebbtv)?""",,,2022,1,Dagligen | 5–6 dagar/vecka | 3–4 dagar/vecka | 1–2 dagar/vecka | Mer sällan | Aldrig,6,,
16514,""" hur ofta ta del av nyheter från alternativa medier? (t.ex. fria tider, nyheter idag, swebbtv)?""",,,2022,1,Dagligen | 5–6 dagar/vecka | 3–4 dagar/vecka | 1–2 dagar/vecka | Mer sällan | Aldrig,6,,
16512,""" prenumererar du eller någon i ditt hushåll på någon morgontidning?""",,,2022,1,Ja | Nej,2,,
16515,""" prenumererar du eller någon i ditt hushåll på någon morgontidning?""",,,2022,1,Ja | Nej,2,,
4200,#NAMN?,,,1999,1,öppen fråga,1,,
4201,#NAMN?,,,1999,1,öppen fråga,1,,
4202,#NAMN?,,,1999,1,öppen fråga,1,,
4203,#NAMN?,,,1999,1,öppen fråga,1,,
4204,#NAMN?,,,1999,1,öppen fråga,1,,
4206,#NAMN?,,,1999,1,öppen fråga,1,,
4207,#NAMN?,,,1999,1,öppen fråga,1,,
10088,(f37),,,2009,1,öppen fråga,1,,
10090,(f37),,,2009,1,öppen fråga,1,,
3090,- ettan,,,"1998, 1999",2,Har ej tillgång | Dagligen | 5-6 ggr vecka | 3-4 ggr vecka | 1-2 ggr vecka | Mer sällan | Aldrig,7,,
13086,- kodat svar (iso 3166-2 numerisk),,,2014,1,öppen fråga,1,,
4198,- märke på bil1,,,1999,1,öppen fråga,1,,
4199,- märke på bil2,,,1999,1,öppen fråga,1,,
4205,"- om det finns något/några andra språk på vilket du kan läsa utan större problem, vilket språk",,,1999,1,öppen fråga,1,,
10910,- vilken eller vilka frågor/samhällsproblem är viktigast,,,2010,1,öppen fråga,1,,
13561,. förtroende för offentliga myndigheter avseende information om energi energimyndigheten,,,2015,1,Mycket stort förtroende | Ganska stort förtroende | Ganska litetf örtroende | Mycket litet förtroende | Ingen uppfattning | Känner inte till myndigheten,6,,
13562,126c. uppfattning om påståenden om vindkraft el producerad med hjälp av vindkraft blir dyr,,,2015,1,0=Helt felaktigt påstående | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10=Helt riktigt påstående | Ingen uppfattning,12,,
12384,5–10 år framåt i tiden? de flesta svenskars livssituation,5–10 år framåt i tiden,,2013,1,Mycket bättre | Något bättre | Varken bättre eller sämre | Något sämre | Mycket sämre,5,,
12385,5–10 år framåt i tiden? din egen livssituation,5–10 år framåt i tiden,,2013,1,Mycket bättre | Något bättre | Varken bättre eller sämre | Något sämre | Mycket sämre,5,,
2676,8. anser du att okritiska nyheter förekommer i de morgontidningar du brukar läsa eller titta i,,,1997,1,Mycket ofta | Ganska ofta | Någon gång | Aldrig,4,,
4208,a e g n a v a r i a b l e r,,,1999,1,Ogillar starkt (0) | 1 | 2 | 3 | 4 | Varken gillar eller ogillar (5) | 6 | 7 | 8 | 9 | Gillar starkt (10) | Ingen uppfattning,12,,
6363,a-region,,,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",22,Stockholm/Södertälje | Malmö/Lund/Trelleborg | Göteborg,3,,
6365,a-region,,,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",22,Stockholm/Södertälje | Malmö/Lund/Trelleborg | Göteborg,3,,
6367,aarsmod,,,2003,1,,0,,
6369,aarsmod,,,2003,1,"Värnpliktig | Hemmafru/'miljonär' (avstår frivilligt från att arbeta) | Förvärvsarbetande (inkl. sjukskriven, föräldraledig) | Har arbete i arbetsmarknadspolitisk åtgärd | Genomgår arbetsmarknadsutbildning i AMS regi | Arbetslös | Ålderspensionär/avtalspensionär | Förtidspensionär/sjukpensionär | Studerande",9,,
10089,aarsmod hushållets bil årsmodell,,,2009,1,,0,,
11521,aarsmod årsmodell på hushållets bil,,,2011,1,Nej | Ja | Frågan ej ställd,3,,
7020,aarsmod. märke,,,2004,1,,0,,
11522,abok transkriberat svar,,,2011,1,ÅFrågan ej ställdÖ,1,,
10911,abok öppet svar,,,2010,1,,0,,
10913,abok öppet svar,,,2010,1,öppen fråga,1,,
4209,abp - annat bästa parti,,,1999,1,Har ej angivit annat parti | Har angivit annat parti,2,,
17480,acceptera åtgärdspaket för förbättring av havsmiljön - om kostnaderna fördelades så att verksamheter som orsakar störst problem för betala mest,,,2024,1,I mycket låg grad | I ganska låg grad | I varken hög eller låg grad | I ganska hög grad | I mycket hög grad,5,,
17481,acceptera åtgärdspaket för förbättring av havsmiljön - även om du inte kunde se förbättringar för dig personligen,,,2024,1,I mycket låg grad | I ganska låg grad | I varken hög eller låg grad | I ganska hög grad | I mycket hög grad,5,,
17482,acceptera åtgärdspaket för förbättring av havsmiljön - även om du inte kunde se förbättringar för havet omedelbart,,,2024,1,I mycket låg grad | I ganska låg grad | I varken hög eller låg grad | I ganska hög grad | I mycket hög grad,5,,
17472,acceptera åtgärdspaket för förbättring av havsmiljön - om det skulle innebära att du fick göra stora uppoffringar,acceptera åtgärdspaket för förbättring av havsmiljön,,2024,1,I mycket låg grad | I ganska låg grad | I varken hög eller låg grad | I ganska hög grad | I mycket hög grad,5,,
17475,acceptera åtgärdspaket för förbättring av havsmiljön - om det skulle innebära att du fick göra stora uppoffringar,acceptera åtgärdspaket för förbättring av havsmiljön,,2024,1,I mycket låg grad | I ganska låg grad | I varken hög eller låg grad | I ganska hög grad | I mycket hög grad,5,,
17473,acceptera åtgärdspaket för förbättring av havsmiljön - om kostnaderna blev lika stora för alla,acceptera åtgärdspaket för förbättring av havsmiljön,,2024,1,I mycket låg grad | I ganska låg grad | I varken hög eller låg grad | I ganska hög grad | I mycket hög grad,5,,
17476,acceptera åtgärdspaket för förbättring av havsmiljön - om kostnaderna blev lika stora för alla,acceptera åtgärdspaket för förbättring av havsmiljön,,2024,1,I mycket låg grad | I ganska låg grad | I varken hög eller låg grad | I ganska hög grad | I mycket hög grad,5,,
17474,acceptera åtgärdspaket för förbättring av havsmiljön - om kostnaderna för samhället blev höga,acceptera åtgärdspaket för förbättring av havsmiljön,,2024,1,I mycket låg grad | I ganska låg grad | I varken hög eller låg grad | I ganska hög grad | I mycket hög grad,5,,
17477,acceptera åtgärdspaket för förbättring av havsmiljön - om kostnaderna för samhället blev höga,acceptera åtgärdspaket för förbättring av havsmiljön,,2024,1,I mycket låg grad | I ganska låg grad | I varken hög eller låg grad | I ganska hög grad | I mycket hög grad,5,,
17478,acceptera åtgärdspaket för förbättring av havsmiljön - om kostnaderna fördelades så att de som drabbas mer för betala mindre,acceptera åtgärdspaket för förbättring av havsmiljön,,2024,1,I mycket låg grad | I ganska låg grad | I varken hög eller låg grad | I ganska hög grad | I mycket hög grad,5,,
17479,acceptera åtgärdspaket för förbättring av havsmiljön - om kostnaderna fördelades så att de som har råd betalar mer,acceptera åtgärdspaket för förbättring av havsmiljön,,2024,1,I mycket låg grad | I ganska låg grad | I varken hög eller låg grad | I ganska hög grad | I mycket hög grad,5,,
3200,aftonbladet - fullständig skala,,,1998,1,7 dagar/vecka | 4 dagar vecka | 1 dag/vecka | Mer sällan | Aldrig,5,,
3202,aftonbladet - fullständig skala,,,1998,1,7 dagar/vecka | 4 dagar vecka | 1 dag/vecka | Mer sällan | Aldrig,5,,
3201,aftonbladet - förenklad skala,,,1998,1,6-7 dagar/vecka | 3-5 dagar/vecka | 1-2 dagar/vecka | Mer sällan | Aldrig,5,,
3203,aftonbladet - förenklad skala,,,1998,1,6-7 dagar/vecka | 3-5 dagar/vecka | 1-2 dagar/vecka | Mer sällan | Aldrig,5,,
14835,agerat i samhälleliga och politiska frågor - skrivit eller kommenterat i sociala medier,,,"2018, 2019, 2020, 2021, 2023, 2024",6,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14836,agerat i samhälleliga och politiska frågor - skrivit insändare till en tidning,,,"2018, 2019, 2020, 2021, 2022, 2023, 2024",7,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14837,agerat i samhälleliga och politiska frågor - skrivit under en namninsamling,,,"2018, 2019, 2020, 2021, 2022, 2023, 2024",7,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14561,agerat i samhälleliga och politiska frågor skrivit eller kommenterat i sociala medier,,,2017,1,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14826,agerat i samhälleliga och politiska frågor - arbetat i aktionsgrupp,agerat i samhälleliga och politiska frågor,,"2018, 2019, 2020, 2021, 2022, 2023, 2024",7,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14829,agerat i samhälleliga och politiska frågor - arbetat i aktionsgrupp,agerat i samhälleliga och politiska frågor,,"2018, 2019, 2020, 2021, 2022, 2023, 2024",7,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14827,agerat i samhälleliga och politiska frågor - deltagit i en demonstration,agerat i samhälleliga och politiska frågor,,"2018, 2019, 2020, 2021, 2022, 2023, 2024",7,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14830,agerat i samhälleliga och politiska frågor - deltagit i en demonstration,agerat i samhälleliga och politiska frågor,,"2018, 2019, 2020, 2021, 2022, 2023, 2024",7,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14828,agerat i samhälleliga och politiska frågor - deltagit i möte om kommunens verksamhet,agerat i samhälleliga och politiska frågor,,"2018, 2019, 2020, 2021, 2022, 2023, 2024",7,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14831,agerat i samhälleliga och politiska frågor - deltagit i möte om kommunens verksamhet,agerat i samhälleliga och politiska frågor,,"2018, 2019, 2020, 2021, 2022, 2023, 2024",7,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14832,agerat i samhälleliga och politiska frågor - diskuterat politik i forum på internet,agerat i samhälleliga och politiska frågor,,"2018, 2019, 2020, 2021, 2022, 2023, 2024",7,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14833,agerat i samhälleliga och politiska frågor - kontaktat en politiker,agerat i samhälleliga och politiska frågor,,"2018, 2019, 2020, 2021, 2022, 2023, 2024",7,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14834,agerat i samhälleliga och politiska frågor - kontaktat en tjänsteman,agerat i samhälleliga och politiska frågor,,"2018, 2019, 2020, 2021, 2022, 2023, 2024",7,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14552,agerat i samhälleliga och politiska frågor arbetat i aktionsgrupp,agerat i samhälleliga och politiska frågor,,2017,1,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14555,agerat i samhälleliga och politiska frågor arbetat i aktionsgrupp,agerat i samhälleliga och politiska frågor,,2017,1,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14553,agerat i samhälleliga och politiska frågor deltagit i en demonstration,agerat i samhälleliga och politiska frågor,,2017,1,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14556,agerat i samhälleliga och politiska frågor deltagit i en demonstration,agerat i samhälleliga och politiska frågor,,2017,1,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14554,agerat i samhälleliga och politiska frågor deltagit i möte om kommunens verksamhet,agerat i samhälleliga och politiska frågor,,2017,1,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14557,agerat i samhälleliga och politiska frågor deltagit i möte om kommunens verksamhet,agerat i samhälleliga och politiska frågor,,2017,1,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14558,agerat i samhälleliga och politiska frågor diskuterat politik i forum på internet,agerat i samhälleliga och politiska frågor,,2017,1,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14559,agerat i samhälleliga och politiska frågor kontaktat en politiker,agerat i samhälleliga och politiska frågor,,2017,1,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
14560,agerat i samhälleliga och politiska frågor kontaktat en tjänsteman,agerat i samhälleliga och politiska frågor,,2017,1,"Ja, under de senaste 12 månaderna | Ja, för en längre tid sedan | Nej",3,,
4006,aktieägarnas krav på vinster bestämmer alltmer utvecklingen inom industrin,,,"1999, 2000, 2001",3,Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10),11,,
4008,aktieägarnas krav på vinster bestämmer alltmer utvecklingen inom industrin,,,"1999, 2000, 2001",3,Helt felaktigt påstående (0) | (1) | (2) | (3) | (4) | (5) | (6) | (7) | (8) | (9) | Helt riktigt påstående (10),11,,
71,aktiv aktionsgrupp 50a,,,1986,1,Markerat | Ej markerat,2,,
72,aktiv aktionsgrupp 50a,,,1986,1,Markerat | Ej markerat,2,,
73,aktiv partiorgan 50a,,,1986,1,Markerat | Ej markerat,2,,
363,aktivitet senaste året - arbetat övertid,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
364,aktivitet senaste året - arbetat övertid,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
365,aktivitet senaste året - besökt gudstjänst,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
366,aktivitet senaste året - bio,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
367,"aktivitet senaste året - diskotek, danslokal",,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
368,aktivitet senaste året - diskuterat politik,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
369,aktivitet senaste året - fritidsfiske,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
370,aktivitet senaste året - hobbyverksamhet i hemmet,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
371,"aktivitet senaste året - idrott, motion",,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
372,aktivitet senaste året - idrottsevenemang,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
373,aktivitet senaste året - konserter,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
374,aktivitet senaste året - läst böcker,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
375,aktivitet senaste året - läst tidskrifter,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
376,aktivitet senaste året - läst veckotidningar,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
377,"aktivitet senaste året - muséer, utställningar",,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
378,aktivitet senaste året - restaurantbesök,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
380,aktivitet senaste året - spelat teater eller musikinstrument,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
379,aktivitet senaste året - sett på video,aktivitet senaste året - spelat,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
381,aktivitet senaste året - strövat i skogen,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
382,aktivitet senaste året - studiecirklar eller kurser,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
383,aktivitet senaste året - teater,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
384,aktivitet senaste året - trädgårdsarbete,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
385,aktivitet senaste året - utflykter fritidsbåt,,,1987,1,Ingen gång | Någon gång under året | Någon gång i kvartalet | Någon gång i månaden | Någon gång i veckan | Flera gånger i veckan,6,,
5063,aktuellt i svt,,,"2001, 2002, 2003, 2004",4,Dagligen | 5-6 gånger/vecka | 3-4 gånger/vecka | 1-2 gånger/vecka | Mer sällan | Aldrig,6,,
7723,aktuellt/rapport i svt,,,"1986, 1988, 1989, 1990, 1996, 1998, 1999, 2000, 2005",9,Dagligen | 5-6 gånger/vecka | 3-4 gånger/vecka | 1-2 gånger/vecka | Mer sällan | Aldrig,6,,
13088,- kodat svar (iso 3166-2 numerisk),alkoholkonsumtion problem,,2014,1,öppen fråga,1,,
